"filename", "language", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\level_data\level_0.tmx", "XML", 0, 397, 0, 1, 398
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\level_data\level_1.tmx", "XML", 0, 394, 0, 1, 395
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\Premium_Trees_Black_Outline.tsx", "TypeScript JSX", 4, 0, 0, 1, 5
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\coins.tsx", "TypeScript JSX", 4, 0, 0, 1, 5
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\enemy.tsx", "TypeScript JSX", 5, 0, 0, 1, 6
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\opossum.tsx", "TypeScript JSX", 7, 0, 0, 1, 8
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\palms.tsx", "TypeScript JSX", 13, 0, 0, 1, 14
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\setup_tiles.tsx", "TypeScript JSX", 4, 0, 0, 1, 5
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\terrain_tileset.tsx", "TypeScript JSX", 4, 0, 0, 1, 5
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\trees.tsx", "TypeScript JSX", 4, 0, 0, 1, 5
"Total", "-", 45, 791, 0, 10, 846
