"filename", "language", "Python", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\camera.py", "Python", 29, 0, 0, 0, 8, 37
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\level.py", "Python", 181, 0, 0, 8, 52, 241
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\opossum.py", "Python", 21, 0, 0, 0, 5, 26
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\platform.py", "Python", 11, 0, 0, 0, 2, 13
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\player.py", "Python", 142, 0, 0, 3, 25, 170
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\tile.py", "Python", 57, 0, 0, 0, 13, 70
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\ui.py", "Python", 16, 0, 0, 2, 5, 23
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\functions\background.py", "Python", 29, 0, 0, 0, 5, 34
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\functions\button.py", "Python", 18, 0, 0, 0, 7, 25
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\functions\support.py", "Python", 49, 0, 0, 0, 12, 61
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\game.py", "Python", 62, 0, 0, 4, 15, 81
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\game_data.py", "Python", 93, 0, 0, 0, 6, 99
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\overworld.py", "Python", 106, 0, 0, 0, 24, 130
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\settings.py", "Python", 35, 0, 0, 3, 8, 46
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\level_data\level_0.tmx", "XML", 0, 0, 397, 0, 1, 398
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\level_data\level_1.tmx", "XML", 0, 0, 394, 0, 1, 395
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\Premium_Trees_Black_Outline.tsx", "TypeScript JSX", 0, 4, 0, 0, 1, 5
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\coins.tsx", "TypeScript JSX", 0, 4, 0, 0, 1, 5
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\enemy.tsx", "TypeScript JSX", 0, 5, 0, 0, 1, 6
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\opossum.tsx", "TypeScript JSX", 0, 7, 0, 0, 1, 8
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\palms.tsx", "TypeScript JSX", 0, 13, 0, 0, 1, 14
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\setup_tiles.tsx", "TypeScript JSX", 0, 4, 0, 0, 1, 5
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\terrain_tileset.tsx", "TypeScript JSX", 0, 4, 0, 0, 1, 5
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\trees.tsx", "TypeScript JSX", 0, 4, 0, 0, 1, 5
"Total", "-", 849, 45, 791, 20, 197, 1902
