"filename", "language", "Python", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\level.py", "Python", 51, 0, 0, 2, 4, 57
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\opossum.py", "Python", 2, 0, 0, 0, 2, 4
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\player.py", "Python", 50, 0, 0, 2, 12, 64
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\start.py", "Python", 32, 0, 0, 3, 3, 38
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\classes\ui.py", "Python", 35, 0, 0, 2, 9, 46
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\functions\background.py", "Python", 0, 0, 0, 0, 2, 2
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\game.py", "Python", 19, 0, 0, 0, 1, 20
"c:\Users\lookc\Documents\GitHub\The-Jungle\code\overworld.py", "Python", 9, 0, 0, 0, 1, 10
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\level_data\level_0.tmx", "XML", 0, 0, -397, 0, -1, -398
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\level_data\level_1.tmx", "XML", 0, 0, -394, 0, -1, -395
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\Premium_Trees_Black_Outline.tsx", "TypeScript JSX", 0, -4, 0, 0, -1, -5
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\coins.tsx", "TypeScript JSX", 0, -4, 0, 0, -1, -5
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\enemy.tsx", "TypeScript JSX", 0, -5, 0, 0, -1, -6
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\opossum.tsx", "TypeScript JSX", 0, -7, 0, 0, -1, -8
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\palms.tsx", "TypeScript JSX", 0, -13, 0, 0, -1, -14
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\setup_tiles.tsx", "TypeScript JSX", 0, -4, 0, 0, -1, -5
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\terrain_tileset.tsx", "TypeScript JSX", 0, -4, 0, 0, -1, -5
"c:\Users\lookc\Documents\GitHub\The-Jungle\levels\tilesets\trees.tsx", "TypeScript JSX", 0, -4, 0, 0, -1, -5
"Total", "-", 198, -45, -791, 9, 24, -605
